model,pixels,image,true,predicted,cdiff
resnet_masked,3,8284,2,8,0.2936376
resnet_masked,3,235,0,8,0.38942808
resnet_masked,3,5304,7,8,0.289447
resnet_masked,3,448,2,7,0.41380066
resnet_masked,3,157,9,8,0.7451957
resnet_masked,3,4733,6,8,0.21412724
resnet_masked,3,5088,8,2,0.48076
resnet_masked,3,5810,5,6,0.25160512
resnet_masked,3,6579,9,8,0.69892985
resnet_masked,3,1915,9,8,0.40470234
resnet_masked,3,6891,9,8,0.611791
resnet_masked,3,7775,2,9,0.31749535
resnet_masked,3,5682,5,2,0.16195697
resnet_masked,3,7172,4,6,0.24706785
resnet_masked,3,4912,1,9,0.49264455
resnet_masked,3,8755,6,8,0.32463995
resnet_masked,3,5952,9,7,0.6006368
resnet_masked,3,4960,4,2,0.15840955
resnet_masked,3,9775,9,8,0.5105325
resnet_masked,3,4749,2,3,0.2013549
resnet_masked,3,1186,4,2,0.2357249
resnet_masked,3,9127,8,9,0.7713008
resnet_masked,3,3546,5,3,0.3231447
resnet_masked,3,4328,0,8,0.5635751
resnet_masked,3,4362,4,9,0.18736835
resnet_masked,3,1338,6,8,0.4040696
resnet_masked,3,8028,1,9,0.41725448
resnet_masked,3,4633,1,8,0.8557875
resnet_masked,3,5217,1,8,0.7330123
resnet_masked,3,8873,5,6,0.30369565
resnet_masked,3,3749,8,9,0.93483126
resnet_masked,3,1056,3,8,0.17697155
resnet_masked,3,6701,1,9,0.5285017
resnet_masked,3,11,9,8,0.79952973
resnet_masked,3,4832,4,2,0.17456505
resnet_masked,5,5729,8,1,0.9106822
resnet_masked,5,784,7,9,0.5530038
resnet_masked,5,8740,2,7,0.24994776
resnet_masked,5,9391,9,8,0.54670155
resnet_masked,5,3916,9,8,0.5375674
resnet_masked,5,131,1,9,0.4956741
resnet_masked,5,4212,1,8,0.73606616
resnet_masked,5,9631,7,8,0.46818596
resnet_masked,5,601,5,3,0.28310373
resnet_masked,5,9915,2,8,0.18424292
resnet_masked,5,9932,8,7,0.7842297
resnet_masked,5,8725,8,9,0.6649788
resnet_masked,5,7814,7,9,0.7339665
resnet_masked,5,2781,7,8,0.40560788
resnet_masked,5,6402,8,9,0.5381839
resnet_masked,5,5217,1,8,0.70755315
resnet_masked,5,9224,6,8,0.19027424
resnet_masked,5,6048,1,8,0.77319276
resnet_masked,5,3581,4,6,0.20047
resnet_masked,5,9649,5,3,0.21874525
resnet_masked,5,7536,8,9,0.49844187
resnet_masked,5,4890,1,9,0.5809698
resnet_masked,5,7502,8,9,0.7351609
resnet_masked,5,7350,9,8,0.541508
resnet_masked,5,7732,7,8,0.52641404
resnet_masked,5,8284,2,8,0.28292206
resnet_masked,5,235,0,8,0.43975356
resnet_masked,5,5304,7,8,0.24474053
resnet_masked,5,448,2,7,0.42885798
resnet_masked,5,157,9,8,0.7785063
resnet_masked,5,4733,6,8,0.24236763
resnet_masked,5,5088,8,2,0.5068311
resnet_masked,5,5810,5,6,0.23605525
resnet_masked,5,6579,9,8,0.70207435
resnet_masked,5,1915,9,7,0.6321702
resnet_masked,5,6891,9,8,0.7654258
resnet_masked,5,7775,2,9,0.34936547
resnet_masked,5,3333,2,4,0.28013495
resnet_masked,5,5682,5,2,0.14928122
resnet_masked,5,7172,4,6,0.21842417
resnet_masked,5,4912,1,9,0.6045295
resnet_masked,5,8755,6,8,0.311688
resnet_masked,5,5952,9,7,0.50693995
resnet_masked,5,4960,4,2,0.1579526
resnet_masked,5,9775,9,8,0.5176042
resnet_masked,5,4749,2,3,0.20941973
resnet_masked,5,1186,4,2,0.23271587
resnet_masked,5,9127,8,9,0.85504967
resnet_masked,5,4328,0,8,0.59205574
resnet_masked,5,4362,4,9,0.18759981
resnet_masked,5,1338,6,8,0.37667328
resnet_masked,5,8028,1,9,0.41866872
resnet_masked,5,4633,1,8,0.5834478
resnet_masked,5,5217,1,8,0.7309603
resnet_masked,5,8873,5,6,0.31336957
resnet_masked,5,3749,8,9,0.94272584
resnet_masked,5,1056,3,8,0.18165927
resnet_masked,5,6701,1,9,0.5180677
resnet_masked,5,11,9,8,0.8110408
resnet_masked,5,4832,4,2,0.15625528
