model,pixels,image,true,predicted,cdiff,perturb_time,attack_time,total_time,avg_time_per_attack
resnet,1,6566,1,9,0.7721462,22.7085063457489,22.77557134628296,6438.712845563889,21.462376151879628
resnet,1,7195,7,6,0.8942984,22.154624223709106,22.230048656463623,6438.712845563889,21.462376151879628
resnet,1,2388,0,9,0.62725735,21.871875286102295,21.93111228942871,6438.712845563889,21.462376151879628
resnet,1,4803,7,3,0.83634585,19.934204816818237,19.994608402252197,6438.712845563889,21.462376151879628
resnet,1,6349,0,6,0.39441139,21.717009782791138,21.78095245361328,6438.712845563889,21.462376151879628
resnet,1,7747,3,4,0.557996,20.32910180091858,20.39678454399109,6438.712845563889,21.462376151879628
resnet,1,6944,5,3,0.52168036,22.84588861465454,22.924614429473877,6438.712845563889,21.462376151879628
resnet,1,9523,5,3,0.7667224,22.86905837059021,22.938893795013428,6438.712845563889,21.462376151879628
resnet,1,5081,5,3,0.72519636,22.138383150100708,22.200939655303955,6438.712845563889,21.462376151879628
resnet,1,5590,4,3,0.7548374,19.679737329483032,19.73887038230896,6438.712845563889,21.462376151879628
resnet,1,5562,4,2,0.8747455,19.640547275543213,19.701605796813965,6438.712845563889,21.462376151879628
resnet,1,9232,1,9,0.48077205,22.137905836105347,22.204801082611084,6438.712845563889,21.462376151879628
resnet,1,8232,2,5,0.89479524,21.782371282577515,21.854151487350464,6438.712845563889,21.462376151879628
resnet,1,1372,1,9,0.5633875,21.711755514144897,21.78231143951416,6438.712845563889,21.462376151879628
resnet,3,4199,8,0,0.99510396,21.528133153915405,21.5952365398407,6438.712845563889,21.462376151879628
resnet,3,4759,0,9,0.912113,21.430938482284546,21.498199224472046,6438.712845563889,21.462376151879628
resnet,3,8500,4,5,0.96799433,21.601536989212036,21.68052387237549,6438.712845563889,21.462376151879628
resnet,3,6312,2,6,0.90851223,21.693479776382446,21.760172367095947,6438.712845563889,21.462376151879628
resnet,3,9136,6,4,0.6096552,21.51903247833252,21.590436220169067,6438.712845563889,21.462376151879628
resnet,3,7921,4,5,0.9785783,21.562816619873047,21.631138801574707,6438.712845563889,21.462376151879628
resnet,3,3375,4,6,0.8266074,21.872900247573853,21.960046529769897,6438.712845563889,21.462376151879628
resnet,3,3117,0,3,0.2698117,21.6313157081604,21.697091102600098,6438.712845563889,21.462376151879628
resnet,3,4616,4,5,0.94954014,21.878681898117065,21.943071126937866,6438.712845563889,21.462376151879628
resnet,3,2653,4,8,0.9899753,21.7129065990448,21.78197932243347,6438.712845563889,21.462376151879628
resnet,3,8688,8,9,0.9996986,21.706088542938232,21.775602340698242,6438.712845563889,21.462376151879628
resnet,3,7481,4,6,0.845917,21.824760675430298,21.89108395576477,6438.712845563889,21.462376151879628
resnet,3,4409,8,1,0.8511146,21.667959690093994,21.732586145401,6438.712845563889,21.462376151879628
resnet,3,1982,6,3,0.5488148,21.873876094818115,21.94207501411438,6438.712845563889,21.462376151879628
resnet,3,3826,1,6,0.98401463,21.019062757492065,21.095541954040527,6438.712845563889,21.462376151879628
resnet,3,9258,9,7,0.9287038,20.08361268043518,20.1445529460907,6438.712845563889,21.462376151879628
resnet,3,5408,9,8,0.97643787,20.796727418899536,20.861931562423706,6438.712845563889,21.462376151879628
resnet,3,2720,3,6,0.96191335,20.76438045501709,20.828471660614014,6438.712845563889,21.462376151879628
resnet,3,4889,4,5,0.9918696,20.847144842147827,20.906382083892822,6438.712845563889,21.462376151879628
resnet,3,5554,9,8,0.83913773,20.807018041610718,20.872586250305176,6438.712845563889,21.462376151879628
resnet,3,1409,0,3,0.988382,20.697411060333252,20.764071464538574,6438.712845563889,21.462376151879628
resnet,3,5658,4,6,0.8675808,20.66242527961731,20.72944712638855,6438.712845563889,21.462376151879628
resnet,3,7538,5,4,0.49767563,20.644477367401123,20.72208523750305,6438.712845563889,21.462376151879628
resnet,3,6676,0,6,0.963053,20.694743633270264,20.763285875320435,6438.712845563889,21.462376151879628
resnet,3,6249,5,6,0.9418162,21.05185031890869,21.13547706604004,6438.712845563889,21.462376151879628
resnet,3,5036,0,6,0.9794724,21.190606594085693,21.25330686569214,6438.712845563889,21.462376151879628
resnet,3,7552,4,5,0.99890685,21.472978115081787,21.5431387424469,6438.712845563889,21.462376151879628
resnet,3,9847,0,8,0.9884924,21.419941902160645,21.489105463027954,6438.712845563889,21.462376151879628
resnet,3,8849,9,0,0.9665786,21.62434220314026,21.69447350502014,6438.712845563889,21.462376151879628
resnet,3,8799,1,8,0.8978748,21.06950855255127,21.133191108703613,6438.712845563889,21.462376151879628
resnet,3,4149,9,8,0.9288519,22.02815008163452,22.09118151664734,6438.712845563889,21.462376151879628
resnet,3,5773,3,6,0.94381,21.829188585281372,21.89707326889038,6438.712845563889,21.462376151879628
resnet,3,9667,9,0,0.78267765,21.498392343521118,21.56622290611267,6438.712845563889,21.462376151879628
resnet,3,4057,7,5,0.84244287,21.785491943359375,21.85183048248291,6438.712845563889,21.462376151879628
resnet,3,7865,3,6,0.95384806,21.11659288406372,21.19079351425171,6438.712845563889,21.462376151879628
resnet,3,9671,7,6,0.9880574,22.112276792526245,22.172119855880737,6438.712845563889,21.462376151879628
resnet,3,7514,7,0,0.811867,20.28014588356018,20.342111825942993,6438.712845563889,21.462376151879628
resnet,3,3164,0,2,0.41749838,19.71694326400757,19.778371572494507,6438.712845563889,21.462376151879628
resnet,3,9111,0,3,0.8627385,20.318860292434692,20.383004665374756,6438.712845563889,21.462376151879628
resnet,3,2,8,1,0.9985349,19.30151057243347,19.360474109649658,6438.712845563889,21.462376151879628
resnet,3,9520,1,9,0.9536156,21.35798740386963,21.429967403411865,6438.712845563889,21.462376151879628
resnet,3,9730,6,3,0.50541174,20.52775740623474,20.591058015823364,6438.712845563889,21.462376151879628
resnet,3,6097,5,3,0.9460453,21.001468181610107,21.065207958221436,6438.712845563889,21.462376151879628
resnet,3,9980,0,1,0.8891464,20.569881439208984,20.648576736450195,6438.712845563889,21.462376151879628
resnet,3,5602,4,6,0.9987116,23.573176383972168,23.64854860305786,6438.712845563889,21.462376151879628
resnet,3,1980,9,8,0.6982462,21.744101762771606,21.808838605880737,6438.712845563889,21.462376151879628
resnet,3,9493,0,8,0.838603,22.27558469772339,22.339389324188232,6438.712845563889,21.462376151879628
resnet,3,9290,4,5,0.98300666,21.354974031448364,21.424671411514282,6438.712845563889,21.462376151879628
resnet,3,3362,1,8,0.9506655,21.86133623123169,21.93718981742859,6438.712845563889,21.462376151879628
resnet,3,2537,1,3,0.97611946,20.889798641204834,20.951579093933105,6438.712845563889,21.462376151879628
resnet,3,5964,9,0,0.6171079,20.657427310943604,20.739954233169556,6438.712845563889,21.462376151879628
resnet,3,5028,9,8,0.93643385,20.226287364959717,20.290436506271362,6438.712845563889,21.462376151879628
resnet,3,8205,2,4,0.8434969,20.518296241760254,20.57981038093567,6438.712845563889,21.462376151879628
resnet,3,8918,7,0,0.9946685,20.3334321975708,20.401013135910034,6438.712845563889,21.462376151879628
resnet,3,5739,2,6,0.97815603,20.059635639190674,20.11998748779297,6438.712845563889,21.462376151879628
resnet,3,6566,1,9,0.9610272,19.962514877319336,20.032655239105225,6438.712845563889,21.462376151879628
resnet,3,2376,7,9,0.98875314,21.595597505569458,21.67156720161438,6438.712845563889,21.462376151879628
resnet,3,7195,7,5,0.8978261,22.499460220336914,22.56726622581482,6438.712845563889,21.462376151879628
resnet,3,2388,0,8,0.86833566,21.524991512298584,21.60574722290039,6438.712845563889,21.462376151879628
resnet,3,6411,8,0,0.99378103,22.86941146850586,22.934237957000732,6438.712845563889,21.462376151879628
resnet,3,6034,9,8,0.63822067,21.530071020126343,21.592283964157104,6438.712845563889,21.462376151879628
resnet,3,1320,7,5,0.9675425,20.602860927581787,20.673184394836426,6438.712845563889,21.462376151879628
resnet,3,4803,7,6,0.99790686,21.862735509872437,21.92707395553589,6438.712845563889,21.462376151879628
resnet,3,2094,5,6,0.873492,20.061115026474,20.126259565353394,6438.712845563889,21.462376151879628
resnet,3,6349,0,6,0.4586351,20.32170271873474,20.389906406402588,6438.712845563889,21.462376151879628
resnet,3,1927,9,8,0.98545337,20.328014373779297,20.396774530410767,6438.712845563889,21.462376151879628
resnet,3,7747,3,6,0.9711254,20.10335636138916,20.166972637176514,6438.712845563889,21.462376151879628
resnet,3,6944,5,7,0.64248794,20.130125284194946,20.19722819328308,6438.712845563889,21.462376151879628
resnet,3,123,2,5,0.99964386,19.985884189605713,20.046833276748657,6438.712845563889,21.462376151879628
resnet,3,7779,5,3,0.6640711,20.017354726791382,20.079835414886475,6438.712845563889,21.462376151879628
resnet,3,3383,8,0,0.99871325,20.47888493537903,20.545963287353516,6438.712845563889,21.462376151879628
resnet,3,9523,5,3,0.98552585,20.413169145584106,20.481074571609497,6438.712845563889,21.462376151879628
resnet,3,1743,1,3,0.98187983,20.430611610412598,20.495593786239624,6438.712845563889,21.462376151879628
resnet,3,5081,5,3,0.7682322,20.188781261444092,20.25610065460205,6438.712845563889,21.462376151879628
resnet,3,2126,9,7,0.9896048,20.03396987915039,20.100210428237915,6438.712845563889,21.462376151879628
resnet,3,5590,4,3,0.8242378,20.21595001220703,20.2810218334198,6438.712845563889,21.462376151879628
resnet,3,5562,4,6,0.8979683,20.13552474975586,20.213181257247925,6438.712845563889,21.462376151879628
resnet,3,3136,4,5,0.8937352,20.07227325439453,20.1373450756073,6438.712845563889,21.462376151879628
resnet,3,2369,1,6,0.9930128,20.008756637573242,20.075438976287842,6438.712845563889,21.462376151879628
resnet,3,3449,1,9,0.8587655,19.9524085521698,20.01629948616028,6438.712845563889,21.462376151879628
resnet,3,9232,1,9,0.9221469,20.293601036071777,20.359318017959595,6438.712845563889,21.462376151879628
resnet,3,756,6,4,0.90968543,20.384318828582764,20.451768398284912,6438.712845563889,21.462376151879628
resnet,3,8232,2,5,0.89551395,20.224226474761963,20.288278102874756,6438.712845563889,21.462376151879628
resnet,3,1372,1,9,0.63090706,20.136213064193726,20.201468229293823,6438.712845563889,21.462376151879628
resnet,5,4199,8,3,0.99687624,20.542924165725708,20.607402801513672,6438.712845563889,21.462376151879628
resnet,5,4759,0,9,0.8328872,20.66451096534729,20.732359409332275,6438.712845563889,21.462376151879628
resnet,5,8500,4,5,0.9919223,20.51697015762329,20.576972723007202,6438.712845563889,21.462376151879628
resnet,5,6312,2,6,0.9077507,19.66958451271057,19.72951054573059,6438.712845563889,21.462376151879628
resnet,5,7921,4,5,0.98117936,22.38788914680481,22.47164011001587,6438.712845563889,21.462376151879628
resnet,5,3375,4,6,0.82620037,22.735843658447266,22.817617893218994,6438.712845563889,21.462376151879628
resnet,5,3117,0,1,0.2628625,23.28987193107605,23.36824631690979,6438.712845563889,21.462376151879628
resnet,5,4616,4,5,0.94949037,20.667773008346558,20.72686195373535,6438.712845563889,21.462376151879628
resnet,5,2653,4,6,0.9983754,19.996221780776978,20.05694007873535,6438.712845563889,21.462376151879628
resnet,5,8688,8,0,0.9997236,21.214773416519165,21.2932186126709,6438.712845563889,21.462376151879628
resnet,5,7481,4,6,0.84591883,21.249366521835327,21.318408489227295,6438.712845563889,21.462376151879628
resnet,5,4409,8,6,0.9086298,21.304987907409668,21.362651824951172,6438.712845563889,21.462376151879628
resnet,5,1982,6,3,0.98206633,20.309149742126465,20.38779640197754,6438.712845563889,21.462376151879628
resnet,5,3826,1,6,0.98084736,20.768903017044067,20.835262298583984,6438.712845563889,21.462376151879628
resnet,5,9258,9,8,0.8688601,20.777424097061157,20.858587503433228,6438.712845563889,21.462376151879628
resnet,5,6048,1,6,0.95952517,20.062068223953247,20.124481201171875,6438.712845563889,21.462376151879628
resnet,5,5408,9,8,0.9991573,20.314269542694092,20.384265899658203,6438.712845563889,21.462376151879628
resnet,5,2720,3,6,0.9727148,20.230586051940918,20.292322874069214,6438.712845563889,21.462376151879628
resnet,5,4889,4,5,0.94637156,19.77024793624878,19.832255840301514,6438.712845563889,21.462376151879628
resnet,5,5554,9,8,0.838564,19.86583113670349,19.92564845085144,6438.712845563889,21.462376151879628
resnet,5,1409,0,5,0.98769534,19.634230136871338,19.69514274597168,6438.712845563889,21.462376151879628
resnet,5,5658,4,6,0.7613802,20.04861354827881,20.127981901168823,6438.712845563889,21.462376151879628
resnet,5,7538,5,4,0.49799964,20.05301022529602,20.114978551864624,6438.712845563889,21.462376151879628
resnet,5,6676,0,8,0.91946006,19.906163454055786,19.967714071273804,6438.712845563889,21.462376151879628
resnet,5,6249,5,6,0.9420004,19.868192672729492,19.930461883544922,6438.712845563889,21.462376151879628
resnet,5,5036,0,6,0.9773887,19.7743661403656,19.833183765411377,6438.712845563889,21.462376151879628
resnet,5,7552,4,5,0.9987093,19.73801064491272,19.79807209968567,6438.712845563889,21.462376151879628
resnet,5,9847,0,8,0.98881054,19.793233633041382,19.854893445968628,6438.712845563889,21.462376151879628
resnet,5,8849,9,0,0.97924954,19.736568212509155,19.800469160079956,6438.712845563889,21.462376151879628
resnet,5,8799,1,8,0.9106724,19.726292610168457,19.789270162582397,6438.712845563889,21.462376151879628
resnet,5,4149,9,8,0.9047133,19.72442626953125,19.783390760421753,6438.712845563889,21.462376151879628
resnet,5,5773,3,6,0.9530076,20.065911054611206,20.14800238609314,6438.712845563889,21.462376151879628
resnet,5,9667,9,0,0.7671422,19.886353015899658,19.94684386253357,6438.712845563889,21.462376151879628
resnet,5,4057,7,5,0.84241813,19.918075799942017,19.97968578338623,6438.712845563889,21.462376151879628
resnet,5,7865,3,6,0.96307486,19.821909189224243,19.882853507995605,6438.712845563889,21.462376151879628
resnet,5,9671,7,6,0.99592596,19.83962059020996,19.903550148010254,6438.712845563889,21.462376151879628
resnet,5,7514,7,0,0.650282,19.764318227767944,19.823620796203613,6438.712845563889,21.462376151879628
resnet,5,3164,0,2,0.41944224,19.718679904937744,19.780767679214478,6438.712845563889,21.462376151879628
resnet,5,9111,0,4,0.8826443,19.681828022003174,19.743154764175415,6438.712845563889,21.462376151879628
resnet,5,2,8,1,0.9982316,19.865955114364624,19.928919076919556,6438.712845563889,21.462376151879628
resnet,5,1068,9,3,0.9509634,20.06864905357361,20.13225531578064,6438.712845563889,21.462376151879628
resnet,5,9520,1,9,0.9436149,19.830706119537354,19.893117904663086,6438.712845563889,21.462376151879628
resnet,5,9730,6,3,0.8146259,19.80653953552246,19.86686110496521,6438.712845563889,21.462376151879628
resnet,5,6097,5,3,0.8968076,19.74591088294983,19.80904245376587,6438.712845563889,21.462376151879628
resnet,5,9980,0,1,0.8438834,19.760602474212646,19.81932759284973,6438.712845563889,21.462376151879628
resnet,5,5602,4,6,0.9993877,22.60645604133606,22.677456378936768,6438.712845563889,21.462376151879628
resnet,5,1980,9,6,0.8515226,22.159916877746582,22.22684621810913,6438.712845563889,21.462376151879628
resnet,5,9493,0,8,0.83998126,21.501832246780396,21.566711902618408,6438.712845563889,21.462376151879628
resnet,5,9290,4,5,0.9974781,22.377365112304688,22.457202911376953,6438.712845563889,21.462376151879628
resnet,5,3362,1,9,0.9736906,24.16225552558899,24.247337818145752,6438.712845563889,21.462376151879628
resnet,5,2537,1,3,0.9721353,24.42673897743225,24.512523889541626,6438.712845563889,21.462376151879628
resnet,5,5964,9,0,0.7797981,24.147827863693237,24.21666383743286,6438.712845563889,21.462376151879628
resnet,5,5028,9,8,0.9112537,22.484864711761475,22.556915044784546,6438.712845563889,21.462376151879628
resnet,5,8205,2,4,0.84350944,22.962104320526123,23.02778935432434,6438.712845563889,21.462376151879628
resnet,5,8918,7,0,0.9932946,21.935370683670044,22.00337505340576,6438.712845563889,21.462376151879628
resnet,5,5739,2,6,0.97800016,23.023722410202026,23.100220918655396,6438.712845563889,21.462376151879628
resnet,5,6566,1,9,0.96207273,22.57894229888916,22.64335823059082,6438.712845563889,21.462376151879628
resnet,5,2376,7,3,0.9959425,22.6019287109375,22.667710304260254,6438.712845563889,21.462376151879628
resnet,5,7195,7,5,0.8978178,22.742711067199707,22.832247734069824,6438.712845563889,21.462376151879628
resnet,5,2388,0,8,0.86799854,22.472919940948486,22.54324722290039,6438.712845563889,21.462376151879628
resnet,5,6411,8,0,0.9979486,22.15312671661377,22.21702289581299,6438.712845563889,21.462376151879628
resnet,5,6034,9,8,0.693521,22.229172706604004,22.294072151184082,6438.712845563889,21.462376151879628
resnet,5,1320,7,5,0.9195427,22.35618758201599,22.431496143341064,6438.712845563889,21.462376151879628
resnet,5,4803,7,3,0.9982615,23.0874605178833,23.15999412536621,6438.712845563889,21.462376151879628
resnet,5,2094,5,6,0.9688562,22.587741374969482,22.662078380584717,6438.712845563889,21.462376151879628
resnet,5,6349,0,6,0.4526318,22.14067268371582,22.21167278289795,6438.712845563889,21.462376151879628
resnet,5,1927,9,8,0.9898956,22.326628923416138,22.39633011817932,6438.712845563889,21.462376151879628
resnet,5,7747,3,6,0.9727527,22.539042234420776,22.608333587646484,6438.712845563889,21.462376151879628
resnet,5,6944,5,6,0.62544364,22.136624813079834,22.209317922592163,6438.712845563889,21.462376151879628
resnet,5,123,2,5,0.9995963,20.904768466949463,20.96879768371582,6438.712845563889,21.462376151879628
resnet,5,7779,5,3,0.66763246,21.951127290725708,22.01470160484314,6438.712845563889,21.462376151879628
resnet,5,3383,8,0,0.99895173,20.97887110710144,21.044602870941162,6438.712845563889,21.462376151879628
resnet,5,9523,5,3,0.98733056,20.807286977767944,20.87680149078369,6438.712845563889,21.462376151879628
resnet,5,1743,1,3,0.98926866,21.022706031799316,21.088019132614136,6438.712845563889,21.462376151879628
resnet,5,5081,5,3,0.7688306,20.901217699050903,20.96441960334778,6438.712845563889,21.462376151879628
resnet,5,2126,9,7,0.99740994,20.706789016723633,20.77180290222168,6438.712845563889,21.462376151879628
resnet,5,5590,4,6,0.8219679,21.572632312774658,21.653129816055298,6438.712845563889,21.462376151879628
resnet,5,5562,4,6,0.89769953,22.31989574432373,22.383250951766968,6438.712845563889,21.462376151879628
resnet,5,3136,4,5,0.71772754,22.228002786636353,22.294434547424316,6438.712845563889,21.462376151879628
resnet,5,2369,1,6,0.9929578,22.133835554122925,22.20553708076477,6438.712845563889,21.462376151879628
resnet,5,3449,1,9,0.85079086,22.155035972595215,22.221746921539307,6438.712845563889,21.462376151879628
resnet,5,9232,1,9,0.91277593,22.509603261947632,22.57597780227661,6438.712845563889,21.462376151879628
resnet,5,756,6,4,0.87326133,22.937506914138794,23.003950834274292,6438.712845563889,21.462376151879628
resnet,5,8232,2,5,0.8955136,21.989259481430054,22.062235832214355,6438.712845563889,21.462376151879628
resnet,5,1372,1,9,0.6240837,22.72471570968628,22.7868230342865,6438.712845563889,21.462376151879628
